onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0	22.0003	85	4	200	1	60	2	0	0	1	0	0	0	0	0.3981	0	1	0	0	0	3.0077	3.0077	17.067	7.4289	17.0551	22.0003	5	0	0	0.7531	0.7061	1.626	1.6128
22.0066	22.0002	86	4	150	1	35	2	0	0	2	0	0	0	0	0.5301	0	1	0	0	22.0066	25.0142	25.0143	39.0724	29.5706	39.0602	44.0068	5	150	0	0.3196	0.8338	1.6261	1.8267
44.0123	20.0002	87	4	200	2	85	2	0	0.826	0	2	0	0	0	0	2	0	0	0	44.0123	44.8566	44.8709	61.0778	54.0431	61.0656	64.0125	3	100	100	0.4463	0.3552	1.6261	1.8127
64.018	22.0003	88	4	150	2	20	2	0	1.0054	0	2	0	0	0	0	2	0	0	0	64.018	65.0422	65.0585	81.0839	74.0549	81.0717	86.0183	5	0	150	0.8632	0.0142	1.6336	1.6127
86.0244	23.0009	89	4	200	1	90	2	0	0	2	0	0	0	0	0.6976	0	2	0	0	86.0244	89.0329	89.0329	103.0894	93.764	103.0774	109.0253	6	100	100	0.4652	0.5784	2.032	1.6261
109.0344	22.0001	90	4	150	1	80	2	0	0	1	0	0	0	0	0.4013	0	1	0	0	109.0344	112.0415	112.0415	126.0943	116.4726	126.0867	131.0345	5	150	0	0.6579	0.4723	1.8287	1.6128
131.0395	23	91	4	200	2	40	2	0	0.9861	0	1	0	0	0	0	1	0	0	0	131.0395	132.0387	132.0521	148.0997	141.0734	148.0874	154.0395	6	100	100	0.5805	0.509	1.6307	1.8127
154.0451	23.0001	92	4	150	2	90	2	0	1.0113	0	1	0	0	0	0	2	0	0	0	154.0451	155.069	155.0848	171.118	164.0808	171.1058	177.0452	6	150	0	0.8384	0.292	1.6285	1.6127
177.0506	25	93	4	200	1	75	2	0	0	2	0	0	0	0	0.7131	0	2	0	0	177.0506	180.0577	180.0578	194.1097	184.7999	194.0974	202.0506	8	100	100	0.1557	0.0684	1.6286	1.6223
202.0553	22	94	4	150	1	80	2	0	0	2	0	0	0	0	0.4341	0	2	0	0	202.0553	205.062	205.062	219.1139	209.5158	219.1018	224.0553	5	0	150	0.4234	0.5151	1.6261	1.6215
224.0606	26	95	4	200	2	20	2	0	0.8523	0	1	0	0	0	0	1	0	0	0	224.0606	224.9248	224.9387	241.1194	234.0847	241.1072	250.0606	9	100	100	0.6406	0.7541	1.6261	1.8127
250.0659	24.0001	96	4	150	2	35	2	0	0.812	0	1	0	0	0	0	2	0	0	0	250.0659	250.9013	250.9158	267.1367	260.1014	267.1244	274.066	7	0	150	0.5468	0.6335	1.8264	2.0126
274.0709	23.0001	97	4	200	1	40	2	0	0	1	0	0	0	0	0.5887	0	1	0	0	274.0709	277.0773	277.0773	291.128	281.6937	291.1158	297.071	6	100	100	0.2285	0.1595	1.8288	1.6128
297.0765	21	98	4	150	1	15	2	0	0	2	0	0	0	0	0.6449	0	2	0	0	297.0765	300.0828	300.0828	314.1353	304.755	314.1207	318.0765	4	150	0	0.1834	0.4431	1.626	1.8127
318.0818	24	99	4	200	2	75	2	0	0.7747	0	2	0	0	0	0	2	0	0	0	318.0818	318.8664	318.878	335.1388	328.1127	335.1265	342.0818	7	100	100	0.9354	0.4902	2.2327	2.2125
342.0867	24.0001	100	4	150	2	10	2	0	0.5976	0	2	0	0	0	0	1	0	0	0	342.0867	342.7067	342.7229	359.1567	352.1219	359.1445	366.0868	7	150	0	0.1201	0.4497	1.6282	1.8127
366.0924	21	101	4	200	1	65	2	0	0	2	0	0	0	0	0.6346	0	2	0	0	366.0924	369.098	369.098	383.1348	373.7468	383.1269	387.0924	4	0	0	0.4006	0.8435	2.026	1.8127
387.0977	21	102	4	150	1	25	2	0	0	1	0	0	0	0	0.5872	0	1	0	0	387.0977	390.104	390.104	404.1672	394.7184	404.1549	408.0977	4	0	150	0.5671	0.7424	1.826	2.0237
